what is AEI;short for Automatic Equipment Identification
what is Automatic Equipment Identification;it is meant as a tracking system for cars
what is Adhesion factor;essentially describes how well a locomotive can grip the rails
what is Affiliate;A company owned or controlled by another
what is Availability;when a locomotive is free to be used in revenue service and down for maintenance work
what is Bad order;A freight car which has been barred from service because of a mechanical problem
what is Belt line;Refers to a railroad that operates exclusively in and/or around a large city
what is BLE;short for Brotherhood of Locomotive Engineers
what is Brotherhood of Locomotive Engineers;which is a railroad labor union created in 1863
what is Boomer;A railroader who changes jobs often as he drifts through the country
what is Bridge route;a railroad which has more bridge traffic operating over its rails than terminating/originating traffic
what is Bridge traffic;Also known as overhead traffic
what is overhead traffic;it is freight received from one railroad to be moved by a second railroad for delivery to a third
what is Bulk;Commodities such as grain
what is Bulletin order;notifications given to railroad employees informing them of a operational change
what is Charter;a governmental means of granting rights, franchises, and privileges to such.
what is Clearance diagram;A diagram the car and locomotive type and size a particular rail line
what is Clearance form;forms issued to passing trains telling them, sequentially, their orders, if any
what is COFC;Short for Containers On Flatcar
what is Containers On Flatcar;describe a type of train movement which hauls shipping containers
what is Cog railroad;Cog railroads are capable of traversing incredible grades and to do so they use toothed wheels
what is Common carrier;A company which offers services to the general public
what is Commuter service;Passenger train service that typically operates during normal working hours
what is Company-owned railroad;A railroad's stock controlled by a company and not individuals
what is Conductor;The crew member who is entirely responsible for the train
what is Consignee;One who receives a freight shipment
what is Consist;Used to describe the makeup of a train
what is Consolidation;The merging of two corporations into an entirely new corporation
what is Container;Standardized 40-foot box designed for shipping freight by rail, truck, or ship
what is Controlling interest;Owning enough stock in a corporation to control that corporation
what is CP;short for control point on a railroad
what is Crossbuck;"The ""X""-shaped sign found just before a road crosses railroad tracks"
what is Cut;The term which describes a grouping of cars coupled together
what is Deadhead;meaning to move in a train but in no way helping
what is Degree;Measures the angle of a curved segment of track
what is Departure yard;departure yards assemble cuts of cars to ready them for an outbound train
what is Derail;Meaning to leave the rails
what is Derating;changing the locomotive's prime mover to improve fuel efficiency or lower maintenance costs
what is Double the hill;move a train over a hill or steep grade in two parts as the locomotives are simply not powerful
what is Doubleheading;Using two locomotives, independently, to move a train
what is Double-stack;Meaning to stack one container on top of another in a special well car
what is Drag;Slang for a slow freight
what is Drawbar force;tractive effort involved
what is Drayage;Meaning moving via truck
what is Dual-mode;A locomotive which can operate conventionally as a locomotive or as an electric
what is Dual-service;Locomotives which pull both freight and passenger trains
what is Dump the air;Meaning to apply the air brakes
what is Eighth notch;is the final, and most powerful position on the locomotive's throttle
what is Embargo;when a railroad company temporarily shuts down a rail line
what is Engineer;Person responsible for the operation of the locomotive
what is hog head;Person responsible for the operation of the locomotive
what is hogger;Slang for locomotive engineer
what is hostler;Person responsible for the operation of the locomotive
what is Extra board;The group of employees not assigned to normal runs
what is First trick;Refers to the day's first work shift between 8 a.m. and 4 p.m
what is Flimsies;thin piece of paper train orders were once written on
what is Form D;A track warrant used only be railroads in the eastern US
what is Full service trackage rights;agreement whereby the tenant railroad can serve all customers located along the owning railroad's
what is Fusee;A flare used by railroads
what is Gandy Dancer;one who maintained the railroad track and right of way
what is Golden State Route;route operated in conjunction with the Rock Island and Southern Pacific
what is Granger roads;the Midwestern railroads that earned a substantial portion of the earnings from America's Breadbasket
what is Gross ton-mile;The total weight of cars and their lading when moving over a distance of one mile
what is Haulage;a railroad's traffic hauled by another railroad between two points
what is Highball;The signal to operate the train at full speed
what is High-rail vehicle;a standard pickup with flanged wheels mounted to the frame that can be extended to operate on the tracks
what is Holding company;A company that controls other companies through ownership
what is Hotshot;A high priority freight train that never held up and nearly always given the main line
what is Hours of service law;is a federal law mandating employees can only be on duty 12-hours at a time
what is hog law;is a federal law mandating employees can only be on duty 12-hours at a time
